Epoch,J_train,J_test
0,0.382695,0.225544
1,0.185668,0.158595
2,0.136992,0.123272
3,0.108186,0.0999113
4,0.0886441,0.0840744
5,0.0744125,0.0713946
6,0.0635836,0.0619795
7,0.0552222,0.0543317
8,0.048518,0.048373
9,0.0429019,0.0432866
10,0.038284,0.0396021
11,0.0344828,0.0353868
12,0.0310789,0.0318293
13,0.02815,0.0295646
14,0.0259369,0.0270139
15,0.0236629,0.0247401
16,0.0219896,0.0235797
17,0.0204034,0.0215916
18,0.0190356,0.0204717
19,0.0178214,0.019266
20,0.0168308,0.018547
21,0.0158758,0.0174638
22,0.0150278,0.017213
23,0.0144012,0.0162686
24,0.0136445,0.0148745
25,0.0131374,0.0140918
26,0.0125644,0.0141748
27,0.0121267,0.0135851
28,0.0116906,0.0128943
29,0.0113298,0.0127468
30,0.0108475,0.0122094
31,0.0106918,0.0121669
32,0.0103333,0.0127753
33,0.00998587,0.0112988
34,0.0099764,0.0108178
35,0.00938605,0.0110553
36,0.00938327,0.0102429
37,0.00904386,0.0102307
38,0.00889541,0.0104516
39,0.00877676,0.0105459
