Epoch,J_train,J_test
0,0.494661,0.313395
1,0.264503,0.22971
2,0.203787,0.184878
3,0.166605,0.154111
4,0.14034,0.13208
5,0.12062,0.114503
6,0.105245,0.101868
7,0.0930182,0.0906834
8,0.0828471,0.0814905
9,0.074523,0.0730929
10,0.0673985,0.0668341
11,0.0614754,0.0626948
12,0.0563866,0.0567008
13,0.0520705,0.0529081
14,0.0482943,0.0490812
15,0.0450163,0.0454884
16,0.0423386,0.0430607
17,0.039902,0.0408937
18,0.0378385,0.0389312
19,0.0360264,0.0370775
20,0.0344375,0.0359214
21,0.0330736,0.0341903
22,0.0318462,0.0328508
23,0.0307937,0.0324682
24,0.0298008,0.0311963
25,0.0288511,0.0299648
26,0.0282464,0.0294912
27,0.0273808,0.0288512
28,0.0268822,0.0285229
29,0.0262926,0.0286138
