Epoch,J_train,J_test
0,1.28544,1.53681
1,1.02704,1.33138
2,0.926949,1.22991
3,0.863463,1.13226
4,0.804102,1.03266
5,0.748939,0.945808
6,0.703654,0.891023
7,0.666697,0.850843
8,0.635374,0.813314
9,0.609798,0.786584
10,0.586812,0.768912
11,0.56753,0.755307
12,0.550781,0.74128
13,0.535537,0.729357
14,0.520929,0.721654
15,0.507864,0.714666
16,0.495557,0.707288
17,0.48473,0.702248
18,0.474418,0.69833
19,0.46548,0.694453
20,0.456271,0.691191
21,0.448115,0.688859
22,0.44015,0.685851
23,0.432248,0.682953
24,0.42504,0.681427
