Epoch,J_train,J_test
0,0.67624,0.53897
1,0.51531,0.49681
2,0.497548,0.491798
3,0.488786,0.464868
4,0.460295,0.447826
5,0.436917,0.430486
6,0.416784,0.407345
7,0.405103,0.40341
8,0.396887,0.3866
9,0.3832,0.382216
10,0.380395,0.380755
11,0.378734,0.379883
12,0.37261,0.365113
13,0.360844,0.362105
14,0.358639,0.360404
15,0.35735,0.359476
16,0.350574,0.348706
17,0.344203,0.345377
18,0.342634,0.344097
19,0.341392,0.341972
20,0.334416,0.333101
21,0.330132,0.331312
22,0.328827,0.330819
23,0.327837,0.330039
24,0.327116,0.329017
25,0.326435,0.328834
26,0.32494,0.325315
27,0.320159,0.321114
28,0.317585,0.319942
29,0.316413,0.319363
30,0.315212,0.317306
31,0.312293,0.313477
32,0.309359,0.311183
33,0.306003,0.306693
34,0.301666,0.302736
35,0.295797,0.294697
36,0.290907,0.291147
37,0.285382,0.281446
38,0.27695,0.274127
39,0.271068,0.270606
40,0.268666,0.269013
41,0.267234,0.267993
42,0.266171,0.267271
43,0.264492,0.264219
44,0.261442,0.261736
45,0.259881,0.261285
46,0.25894,0.260221
47,0.258179,0.259383
48,0.257165,0.257613
49,0.254476,0.255013
